qty_url_alphanumeric,url_length,qty_domain_alphanumeric,qty_vowels_domain,domain_length,qty_directory_alphanumeric,directory_length,qty_file_alphanumeric,file_length,qty_params_alphanumeric,params_length,qty_params,email_in_url,url_shortened,phishing
3,14,1,3,14,0,0,0,0,0,0,0,0,0,0
7,38,4,10,32,2,6,0,0,0,0,0,0,0,0
3,24,1,7,23,1,1,0,0,0,0,0,0,0,0
6,38,2,7,25,3,13,0,0,0,0,0,0,0,1
7,46,2,7,19,4,27,0,0,0,0,0,0,0,1
7,45,1,6,17,5,28,0,4,0,0,0,0,0,1
5,32,1,4,14,3,18,0,4,0,0,0,0,0,1
3,29,2,10,29,0,0,0,0,0,0,0,0,0,0
5,18,2,1,12,2,6,0,0,0,0,0,0,0,1
3,11,1,2,10,1,1,0,0,0,0,0,0,0,0
7,34,1,5,15,5,19,1,9,0,0,0,0,0,1
4,21,1,6,16,2,5,0,0,0,0,0,0,0,0
5,32,2,7,21,2,11,1,10,0,0,0,0,0,1
2,19,1,6,19,0,0,0,0,0,0,0,0,0,0
8,31,4,10,25,2,6,0,0,0,0,0,0,0,1
6,29,1,4,13,3,16,0,0,0,0,0,0,0,1
3,14,2,4,14,0,0,0,0,0,0,0,0,0,0
3,16,2,5,16,0,0,0,0,0,0,0,0,0,0
3,12,1,4,11,1,1,0,0,0,0,0,0,0,0
3,16,2,5,16,0,0,0,0,0,0,0,0,0,0
14,107,2,5,22,11,85,9,78,0,0,0,0,0,0
4,22,1,7,19,1,1,0,0,1,2,0,0,0,1
3,17,2,4,17,0,0,0,0,0,0,0,0,0,0
4,11,2,4,10,1,1,0,0,0,0,0,0,0,0
7,46,1,4,11,5,35,1,9,0,0,0,0,0,1
34,228,1,3,11,5,53,1,7,25,164,1,0,0,1
9,204,3,8,25,5,48,1,23,0,131,0,0,0,1
3,16,1,2,10,1,6,0,5,0,0,0,0,0,1
3,17,2,5,17,0,0,0,0,0,0,0,0,0,0
3,28,1,10,27,1,1,0,0,0,0,0,0,0,0
3,15,2,2,15,0,0,0,0,0,0,0,0,0,0
6,44,2,6,16,3,28,0,0,0,0,0,0,0,1
18,144,1,11,24,7,47,1,7,9,73,1,0,0,1
4,20,3,7,20,0,0,0,0,0,0,0,0,0,0
4,29,3,7,29,0,0,0,0,0,0,0,0,0,0
5,40,1,7,16,3,24,1,10,0,0,0,0,0,1
4,37,1,6,17,2,20,0,14,0,0,0,0,0,1
7,34,3,5,18,3,16,1,8,0,0,0,0,0,1
12,69,1,5,17,6,34,1,9,3,18,1,1,0,1
6,28,2,6,14,3,14,1,9,0,0,0,0,0,1
14,85,2,4,18,11,67,0,0,0,0,0,0,0,0
7,50,4,13,36,2,14,1,13,0,0,0,0,0,0
